"PK","Lng","Lat"
"71","-73.798754","5.06364"
"72","-73.795894","5.072182"
"73","-73.79345499999999","5.080887"
"74","-73.79130600000001","5.089394"
"75","-73.789418","5.096274"
"76","-73.780958","5.099289"
"77","-73.77248899999999","5.102255"
"78","-73.763706","5.101537"
"79","-73.75938600000001","5.099375"
"80","-73.754836","5.103457"
"81","-73.749791","5.109741"
"82","-73.74200500000001","5.111914"
"83","-73.73361300000001","5.113262"
"84","-73.725295","5.110752"
"85","-73.717985","5.108338"
"86","-73.710477","5.112912"
"87","-73.703616","5.10803"
"88","-73.699856","5.115498"
"89","-73.698032","5.124337"
"90","-73.697604","5.13314"
"91","-73.69460599999999","5.141668"
"92","-73.689789","5.148851"
"93","-73.68093399999999","5.149794"
"94","-73.672782","5.153604"
"95","-73.66459999999999","5.157364"
"96","-73.657023","5.162222"
"97","-73.648966","5.165951"
"98","-73.642405","5.17206"
"99","-73.636297","5.178481"
"100","-73.628935","5.183078"
"101","-73.62282","5.189405"
"102","-73.61549100000001","5.193758"
"103","-73.609702","5.199095"
"104","-73.604907","5.206288"
"105","-73.599839","5.213571"
"106","-73.59473800000001","5.220383"
"107","-73.594398","5.229106"
"108","-73.591421","5.237495"
"109","-73.592973","5.245668"
"110","-73.587737","5.252845"
"111","-73.58407200000001","5.259799"
"112","-73.575723","5.257476"
"113","-73.572193","5.263656"
"114","-73.567331","5.271166"
"115","-73.56611100000001","5.279765"
"116","-73.572947","5.283472"
"117","-73.579579","5.288739"
"118","-73.574788","5.291821"
"119","-73.576224","5.299594"
"120","-73.574213","5.307114"
"121","-73.570947","5.315203"
"122","-73.568219","5.322052"
"123","-73.56677999999999","5.314115"
"124","-73.55932","5.317694"
"125","-73.553949","5.313085"
"126","-73.548095","5.317393"
"127","-73.54218899999999","5.323183"
"128","-73.537584","5.330689"
"129","-73.529659","5.334455"
"130","-73.52321600000001","5.338092"
"131","-73.52279900000001","5.342488"
"132","-73.52093000000001","5.350795"
"133","-73.52866299999999","5.352935"
